Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00012671,0.092982,-0.58655,0,0,0,3.74,0.094862,1.0174E-05,1.8848E-06,0.095126,0.00012863,0.0871,0,0,0,0,0,0,package://urdf4/meshes/base_link.STL,0.61176,0.87451,1,1,0,0,0,0,0,0,package://urdf4/meshes/base_link.STL,,chân váy-1;n101-1;ghép 1 hn-1/HN 2-1;ghép 1 hn-1/HN3-1;ghép 1 hn-1/hn5-1;ghép 1 hn-1/hn5-2;ghép 1 hn-1/hn7-1;ghép 1 hn-1/hn7-2;ghép 1 hn-1/hn9-1;canhtay-1/hs1-1;canhtay-2/hs1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
truc_dau,9.0411E-05,0.0034304,0.0052676,0,0,0,0.80421,0.0025103,5.8366E-05,8.1678E-08,0.0047223,3.5524E-06,0.0047285,0,0,0,0,0,0,package://urdf4/meshes/truc_dau.STL,0,1,1,1,0,0,0,0,0,0,package://urdf4/meshes/truc_dau.STL,,TRỤC ĐẦU-1;đầu-1,Coordinate System6,Axis-dau,truc_dau,revolute,0,0.099415,0.2278,0,0,0,base_link,0,0,1,10,1,-1.57,1.57,,,0.1,0.1,,,,
truc_1p,-0.00030512,0.0031444,0.039115,0,0,0,0.33251,0.00017171,-3.0762E-06,1.1361E-06,0.00020312,-1.1708E-05,0.000131,0,0,0,0,0,0,package://urdf4/meshes/truc_1p.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://urdf4/meshes/truc_1p.STL,,canhtay-1/hs2-1;canhtay-1/hn14-1;canhtay-1/step 27-1;canhtay-1/hn15-1,Coordinate System2,Axis-1phai,truc_1p,continuous,-0.18697,0.09917,0.077005,3.1416,1.5708,0,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_2p,0.0971770880943177,-0.0125455227804958,-0.00810551892576392,0,0,0,0.322134877786555,0.000219826400767058,6.51159363308055E-05,0.000106895840343518,0.000716765136559059,-1.3775147669043E-05,0.000725818438302817,0,0,0,0,0,0,package://urdf4/meshes/truc_2p.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_2p.STL,,canhtay-1/hn16-1;canhtay-1/hn17-1;canhtay-1/step 27-2,Coordinate System3,Axis-2p,truc_2p,continuous,-0.004829,0.049766,0.067,-1.5708,0,0.09673,truc_1p,0,0,1,10,10,,,,,0.1,0.1,,,,
truc_3p,-0.000628459822926086,0.00746818379249074,0.0626900361164947,0,0,0,0.167838085452356,9.23943898721374E-05,4.56607138774844E-07,1.09707392926679E-06,8.70046634818593E-05,-1.30453453495627E-05,7.43231312455758E-05,0,0,0,0,0,0,package://urdf4/meshes/truc_3p.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_3p.STL,,canhtay-1/hn18-1;canhtay-1/hn19-1;canhtay-1/hn21-1,Coordinate System4,Axis-3p,truc_3p,continuous,0.13487,-0.017376,-0.025007,1.5708,0,1.4426,truc_2p,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_4p,0.0257061143197061,-0.00426686051085107,-0.0123969591248125,0,0,0,0.0252898005716412,1.27713449094562E-05,9.84784727256883E-07,5.10551631747531E-06,1.86899169330855E-05,-8.27205007043374E-07,1.93061268875036E-05,0,0,0,0,0,0,package://urdf4/meshes/truc_4p.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_4p.STL,,canhtay-1/hn30-1;canhtay-1/hn22-1,Coordinate System5,Axis-4p,truc_4p,continuous,-0.0033345,0.039861,0.074993,2.8292,-1.5708,1.9605,truc_3p,0,0,1,10,10,,,,,0.1,0.1,,,,
truc_1tr,-0.0031592,-3.3751E-14,0.039115,0,0,0,0.33251,0.00020341,-5.2516E-20,1.1763E-05,0.00017141,9.367E-20,0.000131,0,0,0,0,0,0,package://urdf4/meshes/truc_1tr.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://urdf4/meshes/truc_1tr.STL,,canhtay-2/hs2-1;canhtay-2/hn14-1;canhtay-2/step 27-1;canhtay-2/hn15-1,Coordinate System7,Axis-1tr,truc_1tr,continuous,0.18697,0.09917,0.077005,1.5708,0.074694,1.5708,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_2tr,-0.0962002860214284,-0.0186086421274526,-0.00810551892545547,0,0,0,0.322134877786555,0.000230010049302898,-9.59011360510806E-05,-0.000105813476581297,0.000706581488023217,-2.04935001849056E-05,0.00072581843830282,0,0,0,0,0,0,package://urdf4/meshes/truc_2tr.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_2tr.STL,,canhtay-2/hn16-1;canhtay-2/hn17-1;canhtay-2/step 27-2,Coordinate System8,Axis-2tr,truc_2tr,continuous,-0.05,0,0.067,-1.5708,0,1.5708,truc_1tr,0,0,1,10,10,,,,,0.1,0.1,,,,
truc_3tr,-0.00747364036776445,-0.000559848697401555,0.0626900361170514,0,0,0,0.167838085452356,8.69967318232255E-05,-4.07035254141256E-07,1.30548702885787E-05,9.24023215307712E-05,9.7722476637671E-07,7.43231312455757E-05,0,0,0,0,0,0,package://urdf4/meshes/truc_3tr.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_3tr.STL,,canhtay-2/hn18-1;canhtay-2/hn19-1;canhtay-2/hn21-1,Coordinate System9,Axis-3tr,truc_3tr,continuous,-0.1335,-0.02586,-0.025007,2.9503,1.5708,0,truc_2tr,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_4tr,0.0260370551829824,-0.00104027588534727,-0.0123969591323265,0,0,0,0.0252898005716412,1.26199015459065E-05,2.24805275750773E-07,5.16873028669822E-06,1.88413602966353E-05,-1.86526714045977E-07,1.93061268875037E-05,0,0,0,0,0,0,package://urdf4/meshes/truc_4tr.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://urdf4/meshes/truc_4tr.STL,,canhtay-2/hn30-1;canhtay-2/hn22-1,Coordinate System10,Axis-4tr,truc_4tr,continuous,-0.03989,-0.0029692,0.074991,3.0669,-1.5708,0,truc_3tr,0,0,1,10,10,,,,,0.1,0.1,,,,
banh_tophai,-1.3354E-05,2.3763E-05,-0.012589,0,0,0,0.78153,0.0019735,7.8691E-07,1.5601E-07,0.0019726,-2.7762E-07,0.0038637,0,0,0,0,0,0,package://urdf4/meshes/banh_tophai.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf4/meshes/banh_tophai.STL,,ghép 1 hn-1/hn6- bánh-2;ghép 1 hn-1/hn4-2,Coordinate System11,Axis-tp,banh_tophai,continuous,-0.16664,0.16516,-0.95375,3.1416,-1.5708,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
banh_totrai,2.6028E-05,-8.0967E-06,0.044901,0,0,0,0.78153,0.0019723,5.2258E-07,3.0408E-07,0.0019738,-9.459E-08,0.0038637,0,0,0,0,0,0,package://urdf4/meshes/banh_totrai.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf4/meshes/banh_totrai.STL,,ghép 1 hn-1/hn4-1;ghép 1 hn-1/hn6- bánh-1,Coordinate System12,Axis-ttr,banh_totrai,continuous,0.11414,0.16516,-0.95375,0,-1.5708,0,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_1nhophai,0.011455,0.00042316,0.01789,0,0,0,0.0013747,1.3576E-07,-3.0891E-09,-3.3684E-08,2.1926E-07,-1.2443E-09,8.8017E-08,0,0,0,0,0,0,package://urdf4/meshes/truc_1nhophai.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf4/meshes/truc_1nhophai.STL,,ghép 1 hn-1/hn8-2,Coordinate System13,Axis-1nhophai,truc_1nhophai,continuous,-0.095,-0.028706,-1.0138,3.1416,0,3.1416,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_2nhophai,1.15857356273175E-05,0.00018749146702293,0.00500696660817349,0,0,0,0.00292411380947459,1.01105272904376E-07,-5.52212827884671E-11,-1.95926601143352E-10,1.01382400834972E-07,1.90673170889776E-09,1.54106108401828E-07,0,0,0,0,0,0,package://urdf4/meshes/truc_2nhophai.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf4/meshes/truc_2nhophai.STL,,ghép 1 hn-1/hn9-2,Coordinate System15,Axis-nho2p,truc_2nhophai,continuous,0,0,0.03,0,1.5708,0,truc_1nhophai,0,0.036914,0.99932,10,10,,,,,0.1,0.1,,,,
truc_1nhotrai,-0.011432,-0.00084183,0.01789,0,0,0,0.0013747,1.361E-07,-6.1326E-09,3.3616E-08,2.1892E-07,2.4754E-09,8.8017E-08,0,0,0,0,0,0,package://urdf4/meshes/truc_1nhotrai.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf4/meshes/truc_1nhotrai.STL,,ghép 1 hn-1/hn8-1,Coordinate System14,Axis-nho1tr,truc_1nhotrai,continuous,0.095,-0.028706,-1.0138,3.1416,0,3.1416,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
truc_2nhotrai,-7.8947604686963E-07,-0.000356156551348977,0.0049978149011022,0,0,0,0.00292411380947459,1.0132306270162E-07,1.41987547894082E-11,1.45626993098296E-11,1.01411643352959E-07,-4.08739620013389E-09,1.53859076086597E-07,0,0,0,0,0,0,package://urdf4/meshes/truc_2nhotrai.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf4/meshes/truc_2nhotrai.STL,,ghép 1 hn-1/hn9-1,Coordinate System16,Axis-nho2tr,truc_2nhotrai,continuous,0,0,0.03,3.1416,-1.5708,0,truc_1nhotrai,0,-0.073438,0.9973,10,10,,,,,0.1,0.1,,,,
